titre,entreprise,contrat,localisation,salaire,description,lien,date_scraping,source,mot_cle_recherche,id_apec
Data Scientist F/H,iPepper,,,45 - 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178077294W,2026-02-10,APEC,Data Scientist,178077294W
Data Scientist F/H,UNION TECHNOLOGIES INFORMATIQUE,,,37 - 45 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177991516W,2026-02-10,APEC,Data Scientist,177991516W
DATA SCIENTIST F/H,INFORCA S.A.M,,,48 - 53 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177993395W,2026-02-10,APEC,Data Scientist,177993395W
Data Scientist F/H,D3S,,,A partir de 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177736742W,2026-02-10,APEC,Data Scientist,177736742W
Data Scientist F/H,Consort Group,,,39 - 43 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177964629W,2026-02-10,APEC,Data Scientist,177964629W
Data Scientist F/H,PMU,,,A partir de 60 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177936381W,2026-02-10,APEC,Data Scientist,177936381W
Data Scientist F/H,KLANIK,,,A partir de 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178095720W,2026-02-10,APEC,Data Scientist,178095720W
Data Scientist F/H,MICHAEL PAGE INTERNATIONAL FRANCE,,,50 - 55 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178024651W,2026-02-10,APEC,Data Scientist,178024651W
Data Scientist F/H,DEEPTECH SERVICES,,,40 - 48 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178034596W,2026-02-10,APEC,Data Scientist,178034596W
data scientist/ data manager F/H,ALTEN,,,32 - 46 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178066877W,2026-02-10,APEC,Data Scientist,178066877W
LEAD DATA SCIENTIST F/H,Expectra,,,A partir de 60 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177985930W,2026-02-10,APEC,Data Scientist,177985930W
