titre,entreprise,contrat,localisation,lien,date_scraping,source
Data Scientist CDD 9 mois (F/H),Axa,Cdd,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-cdd-9-mois-f-h_nanterre,2026-02-10,WTTJ
Data Scientist - Voice Agents (F/H) - Stage de 6 mois,Axa,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-voice-agents-f-h-stage-de-6-mois_malakoff,2026-02-10,WTTJ
Data Scientist  (H/F),Datascientest,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/datascientest/jobs/data-scientist-stage_puteaux,2026-02-10,WTTJ
Data Scientist / IA - ALTERNANCE  H/F,Macif,Alternance,Télétravail,https://www.welcometothejungle.com/fr/companies/macif/jobs/data-scientist-ia-alternance-h-f_issy-les-moulineaux,2026-02-10,WTTJ
Manager Data Scientist - Macroeconomic Modeling,Quantcube Technology,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/quantcube-technology/jobs/manager-data-scientist_paris,2026-02-10,WTTJ
Practice Leader Data/IA,5 Degres,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/5-degres/jobs/practice-leader-data-ia_paris,2026-02-10,WTTJ
[VO2 Finance] - Data Scientist/Analyst,Vo2 Group,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/vo2-group/jobs/vo2-finance-data-scientist-analyst_paris,2026-02-10,WTTJ
Data Scientist,Margo,Projets Pricing & Segmentation – Practice IA MARGO,Paris,https://www.welcometothejungle.com/fr/companies/margo/jobs/data-scientist-projets-pricing-segmentation-practice-ia-margo_paris,2026-02-10,WTTJ
Lead Data Scientist – IA & GenAI,Margo,Practice IA MARGO,Paris,https://www.welcometothejungle.com/fr/companies/margo/jobs/lead-data-scientist-ia-genai-practice-ia-margo_paris,2026-02-10,WTTJ
Data Scientist Manager,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/data-scientist-manager_paris_ARTEF_gzlzRNK,2026-02-10,WTTJ
ALTERNANCE - Data Scientist H/F,Totalenergies,Alternance,Télétravail,https://www.welcometothejungle.com/fr/companies/totalenergies/jobs/alternance-data-scientist-h-f_nanterre_TOTAL_z46krDM,2026-02-10,WTTJ
Senior Data Scientist (English & French fluent),Dataiku,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/dataiku/jobs/senior-data-scientist-english-french-fluent_paris,2026-02-10,WTTJ
Consultant IA - Stage de fin d'études Paris - Theodo Data & AI,Sicara,Stage,Paris,https://www.welcometothejungle.com/fr/companies/sicara/jobs/consultant-ia-stage-de-fin-d-etudes-paris-theodo-data-ai_paris,2026-02-10,WTTJ
Candidature spontanée - Theodo Data & AI,Sicara,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/sicara/jobs/candidature-spontanee-theodo-data-ai_paris,2026-02-10,WTTJ
Consultant Senior AI Advisory - CDI Paris - Theodo Data & AI,Sicara,Cdi,Paris,https://www.welcometothejungle.com/fr/companies/sicara/jobs/manager-consultant-senior-ai-advisory_paris,2026-02-10,WTTJ
Data Scientist,Step Consulting,Non précisé,Grenoble,https://www.welcometothejungle.com/fr/companies/step-consulting/jobs/data-scientist_grenoble,2026-02-10,WTTJ
Senior Data Scientist,Kiro Fr,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/kiro-fr/jobs/senior-data-scientist_paris_KIRO_zQQMpm8,2026-02-10,WTTJ
Data Scientist Health Monitoring F/H,Safran,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/safran/jobs/data-scientist-health-monitoring-f-h_chateaufort_SAFRA_7p1w55k,2026-02-10,WTTJ
Ingénieur(e) Data Scientist confirmé(e) - Industrie - Lyon,Cs Group,Non précisé,Lyon,https://www.welcometothejungle.com/fr/companies/cs-group/jobs/ingenieur-data-scientist-confirme-industrie-lyon_lyon_CS_RlDOVLp,2026-02-10,WTTJ
End of Study Data Scientist Intern in Engineering Team,Greenly,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/greenly/jobs/end-of-study-data-scientist-intern-in-engineering-team_paris,2026-02-10,WTTJ
Data Scientist LLM / AI H/F,Expleo,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/expleo/jobs/data-scientist-llm-ai-h-f_montigny-le-bretonneux,2026-02-10,WTTJ
Data Scientist (CDI),Elax Energie,Cdi,Paris,https://www.welcometothejungle.com/fr/companies/elax-energie/jobs/data-scientist_paris_EE_r7KGyg9,2026-02-10,WTTJ
V.I.E. Data Scientist (Operational Risk),Societe Generale,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/v-i-e-data-scientist-operational-risk_montreal,2026-02-10,WTTJ
Chef de projet Data Science - Office GDO f/h,Bnp Paribas,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/chef-de-projet-data-science-office-gdo-f-h_paris_BP_1W59DQL,2026-02-10,WTTJ
Consultant·e Data Scientist & AI Engineer - Senior,Saegus,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/saegus/jobs/consultant-e-data-scientist-ai-engineer-senior_paris_SAEGU_qQeolqr,2026-02-10,WTTJ
"V.I.E, Data Scientist, Londres H/F",Bnp Paribas,Non précisé,Puteaux,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/v-i-e-data-scientist-londres-h-f_puteaux,2026-02-10,WTTJ
Senior Data Scientist,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/senior-data-scientist_paris_ARTEF_AJ288jP,2026-02-10,WTTJ
CDI - Data Scientist - H/F,Mediaperformances,Cdi,Télétravail,https://www.welcometothejungle.com/fr/companies/mediaperformances/jobs/cdi-data-scientist-h-f_courbevoie,2026-02-10,WTTJ
IA Scientist F/H,Matmut Fr,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/matmut-fr/jobs/ia-scientist-f-h_sotteville,2026-02-10,WTTJ
Expert géospatial / GeoAI / Data Science (H/F),Atos,Non précisé,Toulouse,https://www.welcometothejungle.com/fr/companies/atos/jobs/expert-geospatial-geoai-data-science-h-f_toulouse,2026-02-10,WTTJ
Stage - Data Scientist (F/H),Younited,Stage,Paris,https://www.welcometothejungle.com/fr/companies/younited/jobs/data-scientist-f-h_paris,2026-02-10,WTTJ
Consultant Data Scientist – Expert Media(H/F),Axys Consultants,Non précisé,Levallois,https://www.welcometothejungle.com/fr/companies/axys-consultants/jobs/consultant-data-scientist-expert-media-h-f_levallois-perret,2026-02-10,WTTJ
Data Scientist (H/F),Lidl Fr,Non précisé,France,https://www.welcometothejungle.com/fr/companies/lidl-fr/jobs/data-scientist-h-f_chatenay-malabry,2026-02-10,WTTJ
CDD - Data scientist H/F,Groupe Credit Agricole,Cdd,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/cdd-data-scientist-h-f_montrouge,2026-02-10,WTTJ
Consultant(e) Senior Data Science & IA,Siaxperience,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/siaxperience/jobs/consultant-senior-data-science-ia_paris_SIA_KK8Q8RR,2026-02-10,WTTJ
STAGE - Assistant Data Scientist - Mesures et réduction des biais des LLMs H/F,Groupe Credit Agricole,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-assistant-data-scientist-mesures-et-reduction-des-biais-des-llms-h-f_montrouge,2026-02-10,WTTJ
Stage - Health Data Scientist (H/F),Withings,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/withings/jobs/stage-health-data-scientist-h-f_issy-les-moulineaux_WITHI_A1Q2mzd,2026-02-10,WTTJ
Data Scientist / Applied AI Developer,Animaj,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/animaj/jobs/data-scientist-applied-ai-developer_paris,2026-02-10,WTTJ
