titre,entreprise,contrat,localisation,lien,date_scraping
Data Scientist CDD 9 mois (F/H),Axa,Cdd,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-cdd-9-mois-f-h_nanterre,2026-02-10
Data Scientist - Voice Agents (F/H) - Stage de 6 mois,Axa,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-voice-agents-f-h-stage-de-6-mois_malakoff,2026-02-10
Data Scientist  (H/F),Datascientest,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/datascientest/jobs/data-scientist-stage_puteaux,2026-02-10
Manager Data Scientist - Macroeconomic Modeling,Quantcube Technology,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/quantcube-technology/jobs/manager-data-scientist_paris,2026-02-10
[VO2 Finance] - Data Scientist/Analyst,Vo2 Group,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/vo2-group/jobs/vo2-finance-data-scientist-analyst_paris,2026-02-10
Data Scientist,Margo,Projets Pricing & Segmentation – Practice IA MARGO,Paris,https://www.welcometothejungle.com/fr/companies/margo/jobs/data-scientist-projets-pricing-segmentation-practice-ia-margo_paris,2026-02-10
Lead Data Scientist – IA & GenAI,Margo,Practice IA MARGO,Paris,https://www.welcometothejungle.com/fr/companies/margo/jobs/lead-data-scientist-ia-genai-practice-ia-margo_paris,2026-02-10
Data Scientist Manager,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/data-scientist-manager_paris_ARTEF_gzlzRNK,2026-02-10
ALTERNANCE - Data Scientist H/F,Totalenergies,Alternance,Télétravail,https://www.welcometothejungle.com/fr/companies/totalenergies/jobs/alternance-data-scientist-h-f_nanterre_TOTAL_z46krDM,2026-02-10
Senior Data Scientist (English & French fluent),Dataiku,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/dataiku/jobs/senior-data-scientist-english-french-fluent_paris,2026-02-10
Data Scientist,Step Consulting,Non précisé,Grenoble,https://www.welcometothejungle.com/fr/companies/step-consulting/jobs/data-scientist_grenoble,2026-02-10
Senior Data Scientist,Kiro Fr,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/kiro-fr/jobs/senior-data-scientist_paris_KIRO_zQQMpm8,2026-02-10
Ingénieur(e) Data Scientist confirmé(e) - Industrie - Lyon,Cs Group,Non précisé,Lyon,https://www.welcometothejungle.com/fr/companies/cs-group/jobs/ingenieur-data-scientist-confirme-industrie-lyon_lyon_CS_RlDOVLp,2026-02-10
End of Study Data Scientist Intern in Engineering Team,Greenly,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/greenly/jobs/end-of-study-data-scientist-intern-in-engineering-team_paris,2026-02-10
Data Scientist LLM / AI H/F,Expleo,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/expleo/jobs/data-scientist-llm-ai-h-f_montigny-le-bretonneux,2026-02-10
Data Scientist (CDI),Elax Energie,Cdi,Paris,https://www.welcometothejungle.com/fr/companies/elax-energie/jobs/data-scientist_paris_EE_r7KGyg9,2026-02-10
V.I.E. Data Scientist (Operational Risk),Societe Generale,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/v-i-e-data-scientist-operational-risk_montreal,2026-02-10
Chef de projet Data Science - Office GDO f/h,Bnp Paribas,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/chef-de-projet-data-science-office-gdo-f-h_paris_BP_1W59DQL,2026-02-10
Consultant·e Data Scientist & AI Engineer - Senior,Saegus,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/saegus/jobs/consultant-e-data-scientist-ai-engineer-senior_paris_SAEGU_qQeolqr,2026-02-10
