titre,entreprise,contrat,localisation,salaire,description,lien,date_publication,date_scraping,source
Data scientist (H/F),PLEBICOM,CDI,69 - LYON 01,,"Tu es passionné(e) par la donnée, curieux(se) de comprendre les comportements utilisateurs et tu veux transformer des chiffres en décisions stratégiques ? Tu veux travailler sur des projets concrets dans une entreprise en pleine croissance ?
Rejoins Plebicom en tant que Data Scientist à notre bureau de Lyon !
Au sein de l'équipe Data, tu participeras à toutes les étapes du cycle de vie de la donnée : de sa collecte à son analyse, jusqu'à son activation pour aider les équipes métier à prendre les meilleures décisions. Tu travailleras main dans la main avec les équipes marketing, produit, commerce et tech, dans une organisation agile, bienveillante et orientée impact.

Construire des modèles prédictifs (segmentation, scoring, churn, etc.) et contribuer à leur amélioration continue
Améliorer et enrichir nos modèles de machine learning
Développer des procédures SQL et Jobs SQL Server robustes pour la mise en production de nos traitements data
Optimiser les plans d'exécution SQL et assurer le suivi des performances du serveur de production

Teletravail fréquent 
",https://candidat.francetravail.fr/offres/recherche/detail/203XGNV,2026-02-11,2026-02-11,France Travail
Datascientist H/F,CHU LA MILETRIE,CDD,86 - POITIERS,,"Apprentissage Automatique Pour Une Aide Au Codage Pmsi - Systeme D'information Medicale
Direction Generale 
Cdd 12 Mois - Temps Plein A Pourvoir Dès Que Possible

Nous cherchons un(e) datascientist souhaitant travailler sur un projet ambitieux visant à exploiter de grands volumes de données pour classifier automatiquement des séjours hospitaliers. 


1. Missions générales

Sous la responsabilité du coordinateur de l'entrepôt, d'un datascientist de l'équipe EDS et d'un médecin spécialiste des entrepôts de données de santé, les principales missions seront de :
- Réaliser un état de l'art des algorithmes d'aide au codage PMSI
- Réaliser un benchmarking des outils open source disponibles, adapter et tester des modèles existants et les évaluer
- Participer à l'implémentation d'un pipeline de classification des séjours hospitaliers sur deux services pilotes

Activités complémentaires
- Participer à l'exploitation des bases de données utilisées dans le service d'information médicale et à la production d'indicateurs
- Rédiger un article scientifique, publier les résultats obtenus et les présenter dans des congrès

2. Nature du contrat et des conditions de recrutement

- Le poste est à pouvoir en CDD de 12 mois renouvelable, dès que possible
- Votre rémunération sera fixée en fonction de votre formation et de votre expérience, sur un grade d'Ingénieur Hospitalier, catégorie A (grille indiciaire de la fonction publique hospitalière) soit un salaire à partir de 28K€ brut/an.
- Possibilité de télétravail pour 1 à 2 jours par semaine.
100% temps plein

PROFIL RECHERCHE

1. Diplôme et formation requis
- Vous possédez un niveau BAC+5 dans le domaine informatique 
- Expériences dans les algorithmes de traitement automatique de la langue et des métriques d'évaluation, notamment en classification automatique de textes
- Expériences dans les algorithmes d'apprentissage automatique

2. Compétences et qualités requises

- Maîtrise du langage Python
- Connaissance du langage SQL
- Connaissance de git
- La connaissance du développement logiciel serait un plus
- La connaissance de Linux et Docker serait un plus
- Rigueur, autonomie, sens de l'organisation

Déposez dès maintenant votre candidature (CV et lettre de motivation) sur le site web du CHU de Poitiers, rubrique « Le CHU recrute », la date limite de dépôt est le 01 mars 2026.


",https://candidat.francetravail.fr/offres/recherche/detail/203RZMF,2026-02-06,2026-02-11,France Travail
DATA SCIENTIST (H/F) AEROMIN,Groupe ADP,CDI,95 - Roissy-en-France,Mensuel de 45000.0 Euros à 52000.0 Euros sur 12.0 mois,"Au sein de l'équipe Data, vous êtes rattaché(e) au responsable du pôle Data & Analytics de la direction Clients du Groupe ADP. 

A ce titre, vous jouez un rôle clé dans la valorisation des données pour soutenir les décisions stratégiques et opérationnelles à travers :
- la construction de la connaissance client pour proposer des parcours personnalisés;
- des analyses de la performance business pour activer les leviers d'optimisation;
- des études de satisfaction client pour améliorer la qualité de service. 

Vos missions portent sur la construction et l'évolution du Data Hub, concrètement cela consiste en :
 - la construction de la data patrimony pour centraliser, homogénéiser des visions de pilotage à travers des données;
 - la construction d'outils de pilotage en se basant sur notre design system et avec la solution Power BI;
 - la réalisation d'usages métier afin d'orienter la décision pour un meilleur impact;
- la contribution aux projets stratégiques tels comme NLP, prédiction, pilotage augmenté grâce à l'IA génératif;
- le vigilance quant à la conformité des traitements de données (RGPD) et la collaboration étroite avec les équipes métier et SI.

Type de données traitées : Vente, CRM, Fidélité, E-Trafic, Paiement, Promotion, Publicité, Parcours, Passager, Réservation, WIFI, Produit, Service, Trafic, Satisfaction, E-réputation, Infrastructure, etc.

Profil recherché :
Titulaire d'un BAC+5 d'une école d'ingénieurs, d'une formation scientifique équivalente ou d'un parcours universitaire similaire ; vous justifiez d'au moins deux années d'expérience dans le domaine des données (Data) ou possédez une expérience significative en préparation et visualisation de données.

Vous êtes reconnu pour votre curiosité intellectuelle, votre implication dans vos projets, votre implication, l'autonomie, la proactivité, ainsi qu'un esprit de service et une orientation vers la satisfaction client.

Une expérience dans un contexte digital, notamment en CRM ou e-commerce, serait un atout supplémentaire.

Les compétences requises :
Fort esprit analytique et business.
Maîtrise des langages de programmation : PySpark, SparkSQL, Python, SQL.
Maîtrise de l'outil Data Visualisation : Power BI et DAX.
Maîtrise des outils Microsoft Office.
Maîtrise des méthodes statistiques, modélisation data science et IA, des packages Analytics / IA.
Bonne connaissance de l'environnement Big Data : Cloud Azure, Data Bricks, Azure Data Factory.
Bonne capacité de communication, sens de l'organisation, agilité, sens de la synthèse.
Connaissance de l'outil design : Figma.

Anglais courant.

Le poste à pourvoir est à temps plein, éligible au télétravail et basé au siège du Groupe ADP situé sur la plateforme de Paris- Charles de Gaulle. 
Package de rémunération et avantages (fixe, variable, participation, intéressement, CET, plan-épargne entreprise, mutuelle, CSE). 
Le Groupe ADP mène une politique engagée depuis plus de 30 ans en faveur de l'égalité des chances, de l'insertion professionnelle et de l'emploi des personnes en situation de handicap. L'inclusion des différences fait la force du Groupe ADP, signataire de la Charte de la Diversité. 

Convaincus que le talent n'a pas d'âge, ni genre, ni origine, ni orientation sexuelle, ni croyance, nous veillons à créer un environnement de travail inclusif pour nos collaborateurs, tenant compte des spécificités de chacun.

Alors place à l'action ! Postulez dès maintenant pour rejoindre le groupe ADP. 

Pour en savoir plus sur notre politique en matière de diversité équité et inclusion, n'hésitez pas à consulter notre site Groupe ADP.",https://candidat.francetravail.fr/offres/recherche/detail/203JBPG,2026-01-29,2026-02-11,France Travail
Biostatisticien / Data Scientist (en santé) junior (H/F),DALI,CDI,69 - LYON 07,Annuel de 35000.0 Euros à 40000.0 Euros sur 12.0 mois,"***  À propos de DALI *** 

DALI (Decision Aid for Life ScIences) est un bureau d'ingénierie innovant spécialisé dans la modélisation, la simulation et l'intelligence artificielle appliquées au système de santé. Notre ambition est de transformer le système de soins grâce à des jumeaux numériques organisationnels et à des analyses maîtrisées des données. Notre but est d'optimiser les parcours patients, de modéliser des services hospitaliers et d'améliorer la performance de diverses prises en charge. DALI a été co-créée début 2025 par Martin PRODEL (PhD, 12 ans d'expérience en données de santé, ex-Heva) et Vincent Augusto (PhD, HDR, Pr, 20 d'expérience en ingénierie de la santé et recherche, Mines Saint-Etienne).

Notre site : https://dali.science

Nos valeurs : innovation, rigueur scientifique, impact positif sur le système de santé, esprit entrepreneurial.

*** Contexte & missions *** 

Dans un contexte de forte croissance, nous recrutons un-e Data Scientist junior-e en analyse de données de santé. Vous jouerez un rôle central dans la réalisation des projets data de nos clients, avec une forte dimension technique et scientifique, et serez en contact direct avec nos clients. Vous interviendrez sur l'ensemble du cycle de vie des projets, depuis la phase avant-vente et la définition des protocoles d'étude, puis la programmation d'analyse de données (data science, biostatistiques), jusqu'à la production des livrables et la présentation finale des résultats.

***  Responsabilités *** 

- Concevoir et structurer les études statistiques ou de machine learning sur des données de santé en vie réelle ou issues des life sciences.
- Définir les méthodologies d'analyse (plans statistiques, critères, modèles).
- Mettre en œuvre les traitements et analyses Python (préparation, nettoyage, modélisation, visualisation).
- Garantir la qualité scientifique, la traçabilité et la reproductibilité des analyses.
- Suivre les projets de bout en bout avec une dimension de gestion de projet : cadrage, suivi, livrables, restitution.
- Participer à la phase avant-vente (analyse des besoins, rédaction de propositions, devis techniques).
- Présenter et vulgariser les résultats auprès de partenaires et clients.
- Contribuer à la valorisation scientifique (publications dans des conférences et revues internationales), en lien avec l'équipe R&D.

*** Profil recherché ***

- Formation : diplôme ingénieur ou doctorat en data science, biostatistiques.
- Expérience : 1 an en analyse de données de santé, études épidémiologiques ou recherche clinique.
- Maîtrise des environnements Python (et/ou R), et des méthodes statistiques classiques et avancées (modèles de survie, régression, classification, ML, DL).
- Expérience dans la participation à de projets analytiques ou d'études de santé, du cadrage à la restitution.
- Langues : français courant, anglais technique/scientifique.

Au-delà des compétences techniques, nous recherchons une personnalité curieuse, impliquée et motivée par l'impact concret des données sur la santé.",https://candidat.francetravail.fr/offres/recherche/detail/203GFSN,2026-01-27,2026-02-11,France Travail
Data Scientist - H/F (H/F),DAY USE,CDI,75 - PARIS,Annuel de 50000.0 Euros à 60000.0 Euros sur 12.0 mois,"À PROPOS DE DAYUSE

Dayuse ouvre les portes des hôtels en journée à une nouvelle clientèle en quête d'expériences inédites. Sublimer son quotidien, partager des moments forts, vivre l'instant présent : autant de possibilités que d'hôtels à découvrir près de chez soi le temps de quelques heures. Transformer les hôtels en lieux de vie, c'est la mission de Dayuse qui démocratise cette nouvelle tendance lifestyle. Le leader mondial de la réservation d'expériences hôtelières en journée a généré un milliard d'euros en volume d'affaires à ses 9 000 partenaires dans 29 pays depuis sa création.


VOTRE FUTURE ÉQUIPE

Dayuse recherche son futur Data Scientist pour rejoindre l'équipe Data à Paris, actuellement composée de 2 personnes.

L'objectif de cette équipe est de développer l'usage de la donnée chez Dayuse dans un contexte Business, Produit et ROI. Vous serez un moteur clé de l'intégration de l'Intelligence Artificielle au cœur de nos solutions B2C et B2B


VOTRE IMPACT

En tant que Data Scientist, vous serez amené à collaborer avec l'ensemble des métiers Dayuse et à concevoir des algorithmes basés sur la data, mais aussi produire des études et analyses approfondies.
Votre principal défi sera de permettre la mise en place du premier ""Data Product"" de Dayuse dans les 3 à 6 prochains mois. 
Vous serez amenés à travailler sur des sujets cruciaux pour Dayuse comme :
La recommandation d'hôtels (produit B2C)
La recherche intelligente et le ranking hôtelier
La prédiction du Churn (produit B2B et Sales)
Et bien plus (scoring, solutions d'IA générative, ...)


VOS MISSIONS AU QUOTIDIEN

Nous cherchons un profil à la croisée de la data analyse et data science, qui aime travailler avec le métier et qui est à l'aise avec la communication inter-équipes.
Voici les responsabilités clés qui rythmeront vos journées :
Concevoir et déployer des solutions d'IA et de Machine Learning.
Développer et maintenir l'ETL ainsi que les traitements de données et KPIs.
Concevoir, développer et maintenir les dashboards qui servent de base à la prise de décision stratégique des équipes Produit et Business.
Animer et faire vivre la communauté Data interne, en assurant le partage des bonnes pratiques.
Participer à la création et au déploiement de la méthodologie du ""Data Product"" pour Dayuse.

VOTRE PROFIL

Vous avez une expérience confirmée en environnement professionnel avec un rôle combinant Data Analyst et de Data Scientist, une expérience avérée dans la conception et le déploiement de solutions data en contexte réel.
Formation : Diplômé-e d'une école d'ingénieur (Bac+5) ou formation universitaire équivalente en sciences des données.
Outils Technique : SQL, Python et connaissance des technologies Data modernes telles que DBT, Snowflake, Fivetran.
Familiarité avec un outil BI comme Tableau, Metabase, Omni...
Des notions d'infra (Docker, Git, Linux) sont un plus.
Adhésion à notre culture : Vous êtes ambitieux(se), humble et orienté(e) vers l'excellence du service, des valeurs clés pour réussir chez Dayuse.
Vous êtes à l'aise en anglais


INFOS COMPLÉMENTAIRES

Jusqu'à 2 jours de télétravail par semaine
Un package salariale compétitif + plan d'intéressement
Des tickets resto SWILE à 10€ dont 50% pris en charge
25 jours de congés + 6 RTT par an
Une mutuelle d'entreprise remboursée à 50%
L'abonnement aux transports remboursé à 50%
Un ""Welcome Campus"" pour un onboarding complet au cœur de l'entreprise et de ses équipes
Des équipes multi-culturelles sur 3 continents, engagées et solidaires, qui aiment le produit
Des événements d'entreprise tout au long de l'année : déjeuners, soirées ou apéro
Des bureaux dans le 9ème, dans un quartier super vivant avec tout à proximité

LE PROCESSUS DE RECRUTEMENT

Nous nous engageons sur un processus clair et transparent :
Un premier entretien avec notre équipe Talent Acquisition (RH).
Mise en situation et entretien technique",https://candidat.francetravail.fr/offres/recherche/detail/203FQSG,2026-01-27,2026-02-11,France Travail
Data Scientist (H/F),,CDI,75 - PARIS 12,,"Dans le cadre de projets stratégiques autour de la donnée et de l'IA appliquées au bâtiment / construction / smart building, nous recherchons un(e) Data Scientist / Ingénieur IA confirmé(e) capable de concevoir, développer et mettre en production des solutions IA s'appuyant sur des architectures Data Warehouse / Data Lake.

Vos missions
1) Analyse & cadrage
Comprendre les besoins métiers BTP (chantier, exploitation, maintenance, performance énergétique, coûts).
Identifier les cas d'usage data/IA et formaliser les spécifications (data, modèles, métriques).
Participer au design d'architectures data/IA : Data Warehouse / Data Lake / pipelines.

2) Traitement des données & Data Warehouse
Concevoir et exploiter des Data Warehouses / Data Marts (modèles en étoile / flocon).
Mettre en place des flux de données ETL/ELT et automatiser l'intégration multi-sources.
Structurer, historiser et fiabiliser des données issues de : BIM, ERP, GMAO, IoT, données financières.
Assurer qualité, gouvernance et sécurité des données.

3) Data Science & Intelligence Artificielle
Développer, entraîner et optimiser des modèles ML/DL.
Implémenter des cas d'usage tels que :
prévision des coûts/délais chantier,
maintenance prédictive,
optimisation énergétique,
détection d'anomalies / risques,
analyse d'images chantier.
Exploiter données structurées et non structurées.

4) Industrialisation & MLOps
Mettre en production les modèles (MLOps, versioning, monitoring, retraining).
Intégrer les solutions aux outils métiers (ERP, BIM, plateformes data).
Garantir performance, scalabilité, maintenabilité.

5) Collaboration
Travailler avec les équipes métiers (conducteurs travaux, architectes, exploitants, finance).
Accompagner les utilisateurs (vulgarisation, adoption).
Faire de la veille technologique IA / data / smart building.

Compétences requises
Compétences indispensables
Python + SQL (obligatoire)
Machine Learning / Deep Learning

Librairies : Scikit-learn, TensorFlow ou PyTorch

Data Warehouse : modélisation (étoile, flocon) + data marts

ETL/ELT, pipelines data, qualité des données

Mise en production / MLOps (CI/CD, monitoring, versioning)

Compétences appréciées
Cloud data : BigQuery / Snowflake / Redshift / Synapse
Spark / Databricks
API / Docker / Kubernetes
Connaissance BIM (Revit, IFC, Navisworks), GMAO, IoT chantier

Profil recherché
Bac+5 (école d'ingénieur / université) en Data / IA / Informatique / SI
5 à 8 ans d'expérience minimum en Data Science + environnement Data Warehouse

Expérience projets IA/data appliqués à des données industrielles / techniques (BTP fortement apprécié)

Qualités attendues
Autonomie, rigueur, orientation résultats
Forte capacité d'analyse et de structuration
Très bon relationnel et capacité à vulgariser",https://candidat.francetravail.fr/offres/recherche/detail/202ZWXP,2026-01-22,2026-02-11,France Travail
Datascientist (H/F),ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,CDD,94 - Créteil,,"Le/la candidat(e) rejoindra l'équipe du CEPHEPI Grand Sud, structure nouvellement créé des GHU Henri Mondor et Paris Saclay qui développe une expertise dans l'évaluation du médicament, sa balance bénéfice/risque autour de quatre principales thématiques
- Prise en charge des maladies inflammatoires à médication immune (IMIDs)
- Polymédication en lien avec une pathologie index (le cancer et les pathologies cardiaques)
- Nouveaux médicaments et populations spécifiques (personnes âgées, femmes, territoire, accès aux soins, obésité, pathologies psychiatriques)
- Transplantation rénale, traitements immunosuppresseurs et évènements indésirables graves 
Le CEPHEPI Grand Sud s'appuie sur l'écosystème local et les expertises quant à l'utilisation et l'analyse des données massives comme celles du SNDS (Data-managers et data-scientits formés à l'extraction et à l'analyse des données du SNDS) ou de l'EDS AP-HP ; intégrant le service de Santé publique et l'URC Henri Mondor (Pr Etienne Audureau) intégré au DMU Saphire et des URC Paris Saclay ; la chaire IA-racles, co-portée par Etienne Audureau (AP-HP), Thomas Guyet (INRIA), Laurent Le Brusquet et Arthur Tenenhaus (CentraleSupélec) ; sur l'expertise clinique des professionnels de santé bi-sites ; sur des conventions établies entre l'Université Paris Est Créteil et le CHU Henri Mondor et le GIS EPI-Phare (groupement d'intérêt scientifique de l'ANSM et de la CNAMTs) ; sur des conventions établis entre l'AP-HP et l'INRIA sur l'exploitation de ces données ; sur l'expertise d'équipes de recherche de l'école Doctorale de Santé Publique (Paris Saclay et UPEC) sur l'évaluation du médicament (équipes EpiDermE, CePia, Epidémiologie Clinique (CESP)) et sur la collaboration avec la Cochrane et notamment le groupe Skin. 

ENVIRONNEMENT DE TRAVAIL
- Intégrez une équipe multidisciplinaire en informatique médicale, ingénierie logicielle et data science
- Contribuez à divers projets de recherche et développement sur les données massives en santé
- Engagez-vous dans une politique active de partage de connaissance en open science

Contexte : Le projet « Optimiser la gestion thérapeutique des maladies inflammatoires immunitaires » vise à créer des cohortes pour les patients IMIDs à l'AP-HP. Ce projet inclut :
- Structuration des données de l'EDS de l'AP-HP en vue d'une intégration avec les données de l'assurance maladie : phénotypes, sévérité, co-morbidités des patients IMIDs (maladies inflammatoires à médiation immunes sont les maladies auto-immunes)
Missions générales - Objectifs concrets :
- Construction des variables d'intérêt pour les patients d'intérêt à partir de données structurées et non-structurées (NLP) des patients identifiés (données phénotypiques, sévérité, thérapeutique et suivi longitudinal)
- Reconstitution du parcours de soins.
Chaînage des données EDS et SNDS 
- Développement d'algorithmes de prédiction de l'efficacité et de tolérance des thérapeutiques des patients IMIDs basés sur de l'IA

Diplôme d'ingénieur ou Bac +5/Doctorat en informatique médicale, mathématique, machine learning, datas science, statistique ou équivalent.",https://candidat.francetravail.fr/offres/recherche/detail/202YVKH,2026-01-21,2026-02-11,France Travail
Data Scientist (H/F),ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,CDD,75 - Paris (Dept.),,"Nous recrutons un ou une Data Scientist pour travailler sur le projet CODIA. Ce projet est un projet interdisciplinaire à l'intersection de la médecine (diabétologie), de la pharmaco-épidémiologie (CEPHEPI,  https://pitiesalpetriere.aphp.fr/centre-pharmacoepidemiologie-cephepi/) et de la science des données (équipe Inria Soda https://team.inria.fr/soda/) afin d'améliorer la prise en charge du diabète via la réutilisation secondaire des données de santé. Nous travaillons plus particulièrement sur l'Entrepôt de Données de Santé (EDS) de l'AP-HP. L'EDS est une base de données qui héberge les dossiers médicaux informatisés de plus de 19 millions de patients suivis dans les 38 hôpitaux de l'AP-HP. Ces données peuvent être structurées (codes diagnostiques de pathologie, traitements administrés, procédures, biologies hospitalières, démographie, etc.) ou non structurées (comptes rendus d'hospitalisation, prescriptions, notes de consultation, etc.). CODIA vise à construire une COhorte de l'ensemble des patients DIAbétiques (1), afin de pouvoir ensuite l'utiliser pour différents projets de recherche, portant par exemple sur le rôle de l'inflammation dans le diabète (https://intercept-t2d.eu/) (2), l'apparition et la gestion de complications du diabète, comme le pied diabétique (3), la maladie rénale chronique, et l'évaluation de l'efficacité de traitements en vie réelle. Nous avons maintenant consolidé une base de données de près de 650 000 patients, ce qui en fait l'une des plus larges cohortes de patients diabétiques d'Europe.

En tant que data scientist sur ce projet, vous travaillerez en relation étroite avec les différents acteurs du projet afin de
- Cibler les bonnes données, au bon moment : sélectionner et préparer des sous-cohortes adaptées aux enjeux cliniques des projets
- Piloter des analyses data innovantes : dans une démarche d'inférence causale, allier biostatistiques, épidémiologie et, quand c'est pertinent, machine learning, avec l'appui des experts du consortium
- Faire parler les données cachées : poursuivre l'application de stratégies de traitement automatique des langues pour enrichir et fiabiliser l'information extraite des notes cliniques non structurées
- Partager les avancées : contribuer activement à la rédaction d'articles scientifiques afin de diffuser les résultats auprès de communautés variées
Pour maximiser la synergie des expertises du consortium, vous serez basé-e au centre de pharmaco-épidémiologie de la Pitié-Salpêtrière, tout en collaborant activement avec :
- l'équipe Soda à Inria Saclay,
- les data scientists de l'AP-HP sur le campus Picpus (12e).
Ces échanges réguliers en présentiel garantiront l'accès à toutes les compétences clés nécessaires pour mener à bien le projet.
Le/la candidat-e idéal-e dispose
- d'un M2 en mathématiques, informatique, sciences des données, biostatistiques ou équivalent
- d'une première expérience en data science / machine learning
- de bonnes connaissances en Python, SQL, Spark, des bonnes pratiques de développement, et d'une appétence pour les approches élégantes
- d'une excellente capacité à communiquer, et faire le lien entre les différentes équipes
- d'une bonne organisation, pour mener en parallèle plusieurs projets à des rythmes variés
- un intérêt marqué pour la santé publique

Note importante : nous recrutons des personnes pas des postes
Si après la lecture de cette description de poste, vous pensez que vous n'avez pas tous les prérequis mais qu'elle correspond à là où vous voudriez être dans votre prochaine position, nous vous encourageons à postuler !

Rémunération annuelle : 40 à 55k€ (selon expérience, profil)
Télétravail occasionnel

Encadrement
- Judith Abécassis, Soda team, Inria Saclay (judith.abecassis@inria.fr)
- Candice Estellat, CEPHEPI, Pitié-Salpêtrière, APHP (candice.estellat@aphp.fr)
- Louis Potier, PUPH, Hôpital Bichat, AP-HP (louis.potier@aphp.fr)",https://candidat.francetravail.fr/offres/recherche/detail/202YSPZ,2026-01-21,2026-02-11,France Travail
Data Scientist - Infrastructure IA & NLP appliqué (H/F),MALOU-FOOD MARKETING,CDI,75 - PARIS 18,Mensuel de 35000.0 Euros à 42000.0 Euros sur 12.0 mois,"Votre rôle :

Rejoignez notre équipe technique dynamique et jouez un rôle central dans l'avancement de projets à la pointe de l'Intelligence Artificielle. Vos missions ne seront pas routinières. Vous explorerez des domaines riches de l'IA, notamment la génération de texte et le traitement d'image, pour enrichir nos offres.

Ce que vous ferez :

- Concevoir et mettre en œuvre des pipelines MLOps pour automatiser le déploiement, la surveillance et la mise à jour des modèles d'IA en production.
- Refactoriser et améliorer les performances de l'infrastructure IA existante en production, avec des bases de code propres et bien documentées.
- Diriger des initiatives en NLP et en systèmes de classification de texte, en particulier pour les workflows de messagerie client.
- Concevoir des cadres internes de synchronisation de données.
- Analyser des ensembles de données critiques pour l'activité et en extraire des insights exploitables sur le comportement des utilisateurs, leur rétention et les tendances d'usage.

Responsabilités additionnelles :

- Participer au recrutement et à l'intégration de profils IA juniors et de stagiaires data.
- Animer des ateliers internes et contribuer à la documentation reliant cas d'usage techniques et métiers.
- Façonner l'avenir de notre stack IA en pilotant des initiatives transversales sur l'infrastructure data.

Stack technologique :

- ML & NLP : Python, TensorFlow, Scikit-learn, SpaCy, Langchain, Keras
- Cloud & DevOps : AWS, GitHub Actions, Docker
- Outils Data : MongoDB, Retool, Airtable, Heap
- Langages & Infra : Node.js, Docker, SQL

Ce que vous apportez :

- Minimum 3 ans d'expérience pratique en déploiement et ajustement de systèmes NLP et en machine learning en environnement de production.
- Spécialisation en Data Science / Machine Learning / Data Engineering / Data Analysis.
- Solides compétences en développement logiciel, expérience avec les infrastructures cloud et les systèmes backend.
- Expérience sur un ou plusieurs des domaines suivants : IA générative, classification de messages, SEO par l'IA, analyse sémantique dans le secteur de la restauration.
- Réalisations démontrées dans la conception de solutions data au sein de startups dynamiques, idéalement dans la restauration.
- Intérêt marqué pour l'univers de la food, avec un appétit pour la vie : vous aimez manger, et dans nos rêves les plus fous, vous êtes aussi doué(e) derrière les fourneaux (on vous fera goûter les nôtres, promis).
- Envie de rejoindre une équipe  dynamique dans une startup en forte croissance.

À propos de vous (Culture fit) :

- Vous êtes déjà immergé(e) dans ce type de travail : écrire des pipelines ML, expérimenter de nouvelles méthodes NLP, améliorer une infrastructure de startup.
- Vous ne cherchez pas un rôle générique ; vous voulez résoudre des problèmes, pas simplement exécuter des tâches. Si vous êtes du genre à créer des outils avant qu'on ne vous les demande, vous vous sentirez ici comme chez vous.",https://candidat.francetravail.fr/offres/recherche/detail/202YQHF,2026-01-21,2026-02-11,France Travail
Data Scientist & MLOPS H/F (H/F),SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,CDI,Ile-de-France,Annuel de 50000.0 Euros à 53000.0 Euros sur 12.0 mois,"SII Solutions recherche un Data Scientist & MLOPS H/F en CDI.
Vous justifiez d'une expérience minimale de au moins 3 ans sur un même poste.
Vous souhaitez mettre votre expertise au service de projets innovants, contribuer à des missions à fort impact et évoluer dans un environnement stimulant ? Cette opportunité est faite pour vous !

Missions principales
-    Expertise en déploiement en production de modèles de machine learning, avec une capacité à automatiser les pipelines Data et AI (data ingestion, pré-processing, entraînement, déploiement).
-    Maîtrise des outils CI/CD pour automatiser le déploiement continu des modèles et pipelines.
-    Compétences en configuration et intégration des modèles ML dans des environnements de production, incluant la gestion des endpoints en temps réel et en batch pour la prédiction.
-    Expérience en monitorage de la qualité des données et des modèles, incluant la détection et le contrôle du drift (modèle et données), avec mise en place de métriques et tableaux de bord (par exemple PowerBI pour le FinOps et qualité).
-    Connaissance des outils et pratiques de surveillance de la production ML (alertes, logging, retraining automatique).
-    Bonne communication interdisciplinaire avec les Data Scientists, Data Engineers et équipes IT pour assurer la symétrie opérationnelle et expérience utilisateur efficace.
-    Compétences en conteneurisation (Docker), orchestration (Kubernetes) et gestion des environnements cloud (Azure, AWS, GCP) pour optimiser la scalabilité et les coûts.
-    Pilotage des phases de tests et mise en production (pilot, go live) avec gestion proactive des incidents de production.

Pourquoi nous rejoindre ?
Un projet stratégique et ambitieux : Construire une nouvelle offre et accompagner la modernisation applicative des entreprises.
Des missions variées et à fort impact : PME, ETI et grands comptes.
Un environnement tech stimulant : Accès aux dernières innovations et formations certifiantes.
Une entité à taille humaine : Proximité, autonomie, partage et bienveillance.
Flexibilité & télétravail : Parce que l'équilibre pro/perso, c'est important.

Qui sommes-nous ?
Le groupe SII est au cœur de l'innovation au service de grands comptes dans des secteurs d'ingénierie variés. 
En 2025, pour la 8ème année consécutive, SII France a obtenu le label Great Place To Work. 
Ce succès est le reflet de notre culture basée sur notre volonté de proposer à tous nos salariés un cadre de travail épanouissant pour le développement de leurs compétences et carrières. 
Rejoindre SII, c'est s'engager dans une aventure collective : Let's Tech Together ! 
Cette promesse représente notre ambition commune : construire un futur technologique ensemble, dans un cadre où l'expérimentation et l'autonomie sont encouragées, où les innovations sont au cœur de nos actions, et où chaque collaborateur trouve épanouissement professionnel et responsabilisation au sein d'un collectif enthousiaste et inclusif. 
En tant que société à fortes valeurs humaines, nous sommes signataires de la Charte de la Diversité, de la Charte d'engagement LGBT+ avec l'Association l'autre Cercle et sommes une entreprise Handi-accueillante.
Let's Tech Together incarne ce que nous sommes et ce que nous aspirons à être : une entreprise dynamique, innovante et humaine. Alors si ces valeurs vous parlent, rejoignez-nous !",https://candidat.francetravail.fr/offres/recherche/detail/202YFBV,2026-01-21,2026-02-11,France Travail
