id_offre,titre,entreprise,source,Competence
1,Data Scientist F/H,UNION TECHNOLOGIES INFORMATIQUE,APEC,Python
4,Data Scientist F/H,Consort Group,APEC,Python
6,Data Scientist F/H,KLANIK,APEC,Python
7,Data Scientist F/H,MICHAEL PAGE INTERNATIONAL FRANCE,APEC,Python
17,Data Scientist - Confirmé F/H,Act Digital France,APEC,Python
19,DATA ANALYST/SCIENTIST F/H,LINEUP7,APEC,Python
23,Data Scientist F/H,GROUPE ATLANTIC SYNERGY - Société en Nom Collectif,APEC,Python
30,Data Scientist F/H,cadremploi,APEC,Python
32,Data Scientist / Data Analyst – Comptabilité & Finance F/H,MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES CONSEIL,APEC,Python
43,DATA SCIENTIST SENIOR F/H,SCC France,APEC,Python
58,CP MOA Senior / Data Scientist F/H,VIBTIC,APEC,Python
59,Data Scientist IA Gen F/H,Hellowork,APEC,Python
60,Data Scientist Confirmé – Python / Spark / Scala / Databricks F/H,INOVELYA,APEC,Python
62,Data Scientist IA / Deep Learning - Python - Confirmé F/H,Kaizen Solutions,APEC,Python
63,Senior Data Scientist - IA Générative F/H,DEVOTEAM,APEC,Python
74,Ingénieur Data Scientist Confirmé - Industrie - le Plessis Robinson F/H,Hellowork,APEC,Python
79,Lead data F/H,AMILTONE,APEC,Python
80,Data officer - data factory F/H,EURO-INFORMATION DEVELOPPEMENTS,APEC,Python
81,Data officer - data factory F/H,EURO-INFORMATION DEVELOPPEMENTS,APEC,Python
84,Data Engineer F/H,ALTERSIS PARIS,APEC,Python
90,Data engineer F/H,AMILTONE,APEC,Python
91,Data engineer F/H,AMILTONE,APEC,Python
105,Ingénieur-e DataScientist - Statisticien-ne F/H,Safran Aircraft Engines,APEC,Python
111,Data Architecte F/H,AMITA,APEC,Python
115,Lead Data Engineer - HealthTech / IA F/H,Les Colettes Sourcing,APEC,Python
122,Data Engineer F/H,CONSTENCIA,APEC,Python
133,Data Scienstist F/H,ENOVALIFE,APEC,Python
136,Data Engineer Snowflake F/H,SWORD FRANCE SAS,APEC,Python
172,Développeur FullStack (Python - React) F/H,D3S,APEC,Python
179,Ingénieur Développeur Logiciel Python (Grenoble) F/H,PROBAYES,APEC,Python
180,Ingénieur Développeur Logiciel Python (Paris) F/H,PROBAYES,APEC,Python
209,Ingénieur Data Expérimenté F/H,RANDSTAD DIGITAL FRANCE,APEC,Python
247,Developpeur IA / Génération IA - Java & Python F/H,Capgemini,APEC,Python
260,Développeur Fullstack React - Python Senior F/H,Hellowork,APEC,Python
264,Chargé de développement pédagogique en santé numérique F/H,Université de Bordeaux,APEC,Python
434,Data Analyst Tech / Analytics Engineer F/H,Welcome to the Jungle,APEC,Python
525,Technical Leader DATA F/H,GESER BEST,APEC,Python
548,DATA INGENIEUR GCP Junior F/H,Groupe Partnaire,APEC,Python
608,Ingénieure / Ingénieur Data Python confirmé(e) F/H,Capgemini Technology Services,APEC,Python
725,Ingenieure / Ingenieur Data Python confirme(e) F/H,Handicap-Job.com,APEC,Python
976,Tech Lead Python F/H,Hellowork,APEC,Python
1101,DATA ENGINEER GCP/ paris F/H,ETHNOL CONSULTING,APEC,Python
1189,Data Engineer Azure Python Pyspark F/H,Hellowork,APEC,Python
1202,Big Data Engineer - services financiers - ile de France F/H,CARREVOLUTIS,APEC,Python
1557,DEVELOPPEUR JAVA / PYTHON F/H,Inetum,APEC,Python
1684,EXPERT PYTHON/IA F/H,Expectra,APEC,Python
1696,Développeur Python Senior - Connaissances Java F/H,Hellowork,APEC,Python
1901,Fullstack Dév Pyhton - expertise GenAI F/H,Working in,APEC,Python
2668,Datascientist H/F,CHU LA MILETRIE,France Travail,Python
2669,DATA SCIENTIST (H/F) AEROMIN,Groupe ADP,France Travail,Python
2670,Biostatisticien / Data Scientist (en santé) junior (H/F),DALI,France Travail,Python
2671,Data Scientist - H/F (H/F),DAY USE,France Travail,Python
2672,Data Scientist (H/F),,France Travail,Python
2674,Data Scientist (H/F),ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,France Travail,Python
2675,Data Scientist - Infrastructure IA & NLP appliqué (H/F),MALOU-FOOD MARKETING,France Travail,Python
2677,Data scientist (F/H),EXPECTRA,France Travail,Python
2678,Data Scientist (H/F),IKOS CONSULTING,France Travail,Python
2679,Data scientist (H/F),AMILTONE,France Travail,Python
2680,Architecte Data (H/F),CIORANE,France Travail,Python
2681,Ingénieur DATA (H/F),CONSORT FRANCE,France Travail,Python
2684,Forward Engineer (H/F),NEXA FORWARD,France Travail,Python
2685,Ingénieur / ingénieure statistique pour la R&D chimie-pharma (H/F),,France Travail,Python
2688,Alternance Data scientist - Puteaux (F/H) (H/F),,France Travail,Python
2689,Data Scientist IA LLM (H/F),BNP Paribas Mission Handicap,France Travail,Python
2694,Data scientist (H/F),,France Travail,Python
2695,Data Scientist ML et IA - SG Retail France (H/F),SG,France Travail,Python
2696,INGÉNIEUR ÉTUDES / DATA SCIENTIST EN ALTIMÉTRIE SPATIALE - H/F,CLS,France Travail,Python
2697,Data Scientist (H/F),KLANIK,France Travail,Python
2698,"Data Scientist / Machine Learning Engineer Confirmé F/H - Système, réseaux, données (H/F)",ONEY BANK,France Travail,Python
2701,Data Scientist H/F,,France Travail,Python
2705,Data scientist H/F,,France Travail,Python
2706,Data Scientist (H/F),GROUPE ATLANTIC SYNERGY - Société en Nom Collectif,France Travail,Python
2707,Ingénieur R&D Data Scientist expérimenté (H/F),IRT JULES VERNE,France Travail,Python
2709,Data scientist (H/F),,France Travail,Python
2710,Data scientist (H/F),,France Travail,Python
2714,Data Scientist (H/F),iPepper,France Travail,Python
2715,Technical leader Data scientist F/H (H/F),Safran,France Travail,Python
2717,"Data Scientist (IA Générative, MLOps/LLMOps) (H/F)",Act Digital France,France Travail,Python
2719,Data Scientist (H/F),Lidl,France Travail,Python
2720,Data scientist (H/F),,France Travail,Python
2723,Data Scientist (H/F),Forums Talents Handicap,France Travail,Python
2725,Data scientist (H/F),,France Travail,Python
2726,Data Scientist Roboticien (H/F),Forums Talents Handicap,France Travail,Python
2727,Data scientist (H/F),,France Travail,Python
2728,Data Scientist - Confirmé (H/F),Act Digital France,France Travail,Python
2729,Data Scientist - en Stage (F/H) (H/F),,France Travail,Python
2730,INGÉNIEUR EN APPRENTISSAGE AUTOMATIQUE DATA SCIENTIST - H/F,Inserm,France Travail,Python
2731,"Data Scientist F/H - Système, réseaux, données (H/F)",MICHAEL PAGE INTERNATIONAL FRANCE,France Travail,Python
2733,DATA SCIENTIST SENIOR H/F,SCC France,France Travail,Python
2734,Data Scientist: Technical Pricing (F/H) (H/F),AXA,France Travail,Python
2736,"Data Scientist Bureau d'Etudes Support et Services F/H - Système, réseaux, données (H/F)",Safran Aircraft Engines,France Travail,Python
2737,Alternance Data scientist - Puteaux (F/H) (H/F),,France Travail,Python
2738,Data Scientist H/F,PMU,France Travail,Python
2744,DATA SCIENTIST (H/F),,France Travail,Python
2750,DATA SCIENTIST SUIVI DE L'INSERTION PROFESSIONNELLE DES SORTANTS DU SUPÉRIEUR (H/F),,France Travail,Python
2756,"Consultant Senior ou Manager Data Analyst & BI - secteur Financier, H/F",EY,France Travail,Python
2757,Architecte Data Ingénieur GCP (F/H) (H/F),,France Travail,Python
2758,Data Engineer H/F,,France Travail,Python
2761,Data Engineer H/F,,France Travail,Python
2764,Data Translation Manager - Finance et fonctions supports (F/H) (H/F),,France Travail,Python
2766,Analyste Data (M/F) (H/F),,France Travail,Python
2773,Data Engineer - Expert Snowflake & DBT (H/F/NB),Trimane,France Travail,Python
2774,Data Analyst Senior (F/H) (H/F),,France Travail,Python
2775,Marketing Data Analyst (F/H) (H/F),AXA,France Travail,Python
2780,Directeur Data & Intelligence Artificielle (F/H),NEXTGEN RH,France Travail,Python
2795,Senior Python software Engineer (F/H) (H/F),,France Travail,Python
2798,Machine Learning Engineer H/F,BNP Paribas,France Travail,Python
2802,Consultant.e Data Analyst Power BI F/H - Valoway,Valoway,France Travail,Python
2803,Consultant.e Data Analyst Power BI F/H - Valoway,Valoway,France Travail,Python
2804,INGÉNIEUR DES DONNÉES - H/F,Inserm,France Travail,Python
2814,Ingénieur Data Science F/H - Analyse causale & systèmes complexes,Externatic,France Travail,Python
2817,CDI - RESPONSABLE D'ETUDES TECHNIQUES - H/F,Generali,France Travail,Python
2828,Data Analyst F/H - CDI (H/F),MOAÏ,France Travail,Python
2829,Stage/alternance - Data analyst (F/H) (H/F),NOVOMA,France Travail,Python
2836,Data analyst (H/F),DAVIDSON PACA,France Travail,Python
2841,Data analyst (F/H),EXPECTRA,France Travail,Python
2844,Data analyst (H/F),,France Travail,Python
2852,Business Data Expert Pilotage des données ferroviaires (H/F),GRAND EST MOBILITES,France Travail,Python
2862,Développeur BI - Strategy / Tableau Cloud sénior (H/F),PREREQUIS,France Travail,Python
2865,Alternance* - Data Analyst (H/F),Studi,France Travail,Python
2867,Data analyst (H/F),,France Travail,Python
2868,Data Analyst - Stage -H/F,FMS-EA,France Travail,Python
2869,Data Analyst (H/F),Défi RH,France Travail,Python
2870,Data Analyst (sénior) F/H (H/F),,France Travail,Python
2878,Alternance Data Analyst - Boulogne-Billancourt (F/H) (H/F),,France Travail,Python
2890,DATA ANALYST H/F,forceinterim,France Travail,Python
2895,Data Analyst Junior F/H - MAGNITUDE,MAGNITUDE,France Travail,Python
2898,Data Analyst - F/H - CDI (H/F),La Francaise des Jeux,France Travail,Python
2907,Un(e) Alternant(e) en Data Analyst CRM & Data H/F,,France Travail,Python
2912,Data Analyst F/H (H/F),,France Travail,Python
2916,Data analyst (H/F),,France Travail,Python
2918,Data Analyst - Digital Transformation (m/f) (réf. E) (H/F),,France Travail,Python
2919,Assistant Data Analyst Durabilité (H/F),Forums Talents Handicap,France Travail,Python
2921,Data analyst (H/F),,France Travail,Python
2924,Data Analyst H/F,Michael Page,France Travail,Python
2928,Data analyst (H/F),,France Travail,Python
2933,DATA ANALYST COMMERCE / TRANSPORT (H/F),CABINET DE RECRUTEMENT SUPPLAY STRASBOURG,France Travail,Python
2935,Data Analyst H/F,Michael Page,France Travail,Python
2939,Data Analyst H/F,Unicancer,France Travail,Python
2942,Data analyst (H/F),,France Travail,Python
2943,Data analyst (H/F),,France Travail,Python
2946,Data analyst (H/F),,France Travail,Python
2950,Data Analyst confirmé F/H - IONIS Group,IONIS Group,France Travail,Python
2951,Data Analyst H/F,,France Travail,Python
2953,"Data Analyst F/H - Système, réseaux, données (H/F)",Réseau Primever France,France Travail,Python
2971,DATA-ENGINEER CONFIRMÉ - H/F,ATOL CONSEILS ET DEVELOPPEMENTS,France Travail,Python
2972,DATA-ENGINEER CONFIRMÉ - H/F,ATOL CONSEILS ET DEVELOPPEMENTS,France Travail,Python
2987,Business Analyst Marketing F/H - YUMENS,YUMENS,France Travail,Python
2990,Expert Databricks - Secteur public H/F,VIVERIS,France Travail,Python
2995,Data engineer F/H (H/F),XPEHO,France Travail,Python
2997,Data Engineer (H/F),DOMIDEP,France Travail,Python
2998,Data Engineer / ETL - Migration et Reprise de données (H/F),PRESTANOVA,France Travail,Python
2999,Data Engineer F/H (H/F),,France Travail,Python
3000,Data Engineer Semarchy ou Stambia Xdm - Xdi (H/F),SARL PROXIEL,France Travail,Python
3001,Data engineer (H/F),,France Travail,Python
3002,Data Engineer IA H/F (H/F),BASSETTI GROUP,France Travail,Python
3003,Data Engineer / Snowflake (H/F),SILAMIR,France Travail,Python
3004,Lead Data Engineer (H/F),LUCKY CART,France Travail,Python
3005,Data engineer (H/F),MSL FRANCE,France Travail,Python
3006,Data Engineer / Snowflake F/H (H/F),FRANCE AIR,France Travail,Python
3026,Expert Big Data (H/F),OSMOZIUM,France Travail,Python
3028,Consultant DevOps H/F (H/F),AUBER TECH,France Travail,Python
3042,"Data engineer Microsoft F/H - Système, réseaux, données (H/F)",EXPERTIME,France Travail,Python
3043,Lead Data Engineer - HealthTech / IA (H/F),Les Colettes Sourcing,France Travail,Python
3045,Data engineer Microsoft H/F,EXPERTIME,France Travail,Python
3046,Data engineer (H/F),AMILTONE,France Travail,Python
3048,Azure / Fabric Data Engineer (Microsoft) (H/F),,France Travail,Python
